id,term,layer,stratum,meaning_rioplatense,meaning_other_variety,other_variety,confidence,needs_verification,notes,context_fragment,source_song,source_artist,source_year,source_url
LB-032,living,falso_amigo,trap,sala de estar,"termino no adoptado, se usa salon",ES,baja,si,,Seguimo' cocinando riquísimo / Se lo hago en el living y llega el delivery / Con una Britney twerkeándome slippery,CASAPARLANTE: NEO PISTEA,Neo Pistea,2025,https://genius.com/Neo-pistea-and-casaparlante-casaparlante-neo-pistea-lyrics
LB-033,remera,falso_amigo,trap,camiseta,palabra no usada con ese sentido,ES,baja,si,,,,,,
LB-034,frutilla,falso_amigo,tango,fresa,palabra no usada con ese sentido,ES,baja,si,,,,,,
LB-035,subte,falso_amigo,tango,"subterraneo, metro",palabra no usada,ES,baja,si,,,,,,
LB-036,matear,falso_amigo,tango,tomar mate,palabra sin uso,ES,baja,si,,,,,,
LB-037,birome,falso_amigo,tango,"boligrafo, lapicera",palabra sin uso,ES,baja,si,,,,,,
LB-038,che,falso_amigo,tango,"interjeccion, muletilla (hey, che)",no se usa con ese sentido,ES,baja,si,,"Paseás como una dama de gran cachet / Che papusa, oí / Los acordes melodiosos que modula el bandoneón;",Che Papusa Oí!,Julio Sosa,1927,https://genius.com/Julio-sosa-che-papusa-oi-lyrics
LB-039,auto,falso_amigo,tango,"coche, automovil","mismo significado, contraste debil",ES,baja,si,,"Y por raro snobismo tomás prissé / Y que en auto camba, de sur a norte / Paseás como una dama de gran cachet",Che Papusa Oí!,Julio Sosa,1927,https://genius.com/Julio-sosa-che-papusa-oi-lyrics
LB-040,bombon,falso_amigo,trap,tambien persona atractiva (uso compartido en varios paises),principalmente solo el dulce,ES,baja,si,,,,,,
LB-041,laburo,lunfardo_sin_homonimo,tango,trabajo (del italiano lavoro),,,alta,no,,"Recordaba aquellas horas de garufa / Cuando minga de laburo se pasaba / Meta punguia, al codillo escolaseaba",El Ciruja,Edmundo Rivero,1926,https://genius.com/Edmundo-rivero-el-ciruja-lyrics
LB-042,fiaca,lunfardo_sin_homonimo,tango,"pereza, desgano (del italiano fiacca)",,,alta,no,,,,,,
LB-043,chanta,lunfardo_sin_homonimo,trap,"persona poco confiable, que promete y no cumple",,,media,si,,,,,,
LB-044,atorrante,lunfardo_sin_homonimo,tango,"vago, picaro, sinverguenza",,,media,si,,,,,,
LB-045,bagayo,lunfardo_sin_homonimo,tango,cosa o persona fea; tambien contrabando,,,media,si,,,,,,
LB-046,piantar,lunfardo_sin_homonimo,tango,"irse, escaparse (del italiano piantare)",,,media,si,,,,,,
LB-047,chanflon,lunfardo_sin_homonimo,tango,"de mala calidad, hecho de apuro",,,media,si,,,,,,
LB-048,bulin,lunfardo_sin_homonimo,tango,"vivienda humilde de soltero, departamento chico",,,media,si,,El bulin de la calle Ayacucho / Que en mis tiempos de rana alquilaba,El Bulín De La Calle Ayacucho,Anibal Troilo,1923,https://genius.com/Anibal-troilo-el-bulin-de-la-calle-ayacucho-lyrics
LB-049,chamuyo,lunfardo_sin_homonimo,trap,"labia, palabreria para convencer o mentir",,,media,si,,,,,,
LB-050,bacan,lunfardo_sin_homonimo,tango,persona adinerada o elegante (sentido antiguo),,,media,si,,,,,,
LB-051,mufa,lunfardo_sin_homonimo,tango,mala suerte,,,media,si,,,,,,
LB-052,quilombo,lunfardo_sin_homonimo,trap,"lio, desorden, caos",,,alta,no,,"/ Soy de lo' pibes del fondo (Uh), de los adicto' al quilombo (Uh) / Mejor no ronquen con mi combo (Más na')",Hello Cotto,Duki,2017,https://genius.com/Duki-hello-cotto-lyrics
LB-053,bondi,lunfardo_sin_homonimo,trap,"colectivo, autobus",,,media,si,,,,,,
LB-054,gomia,lunfardo_sin_homonimo,trap,amigo (vesre de amigo),,,media,si,,,,,,
LB-055,jermu,lunfardo_sin_homonimo,tango,"esposa, mujer (vesre de mujer)",,,media,si,,,,,,
LB-056,ortiba,lunfardo_sin_homonimo,tango,"delator, traidor (vesre de batidor)",,,media,si,,,,,,
LB-057,garca,lunfardo_sin_homonimo,trap,"estafador, traidor (vesre de cagar)",,,media,si,,,,,,
LB-058,troesma,lunfardo_sin_homonimo,tango,maestro (vesre de maestro),,,media,si,,,,,,
LB-059,feca,lunfardo_sin_homonimo,tango,cafe (vesre de cafe),,,media,si,,,,,,
LB-060,junar,lunfardo_sin_homonimo,tango,"mirar, observar, reconocer a alguien",,,media,si,,,,,,
LB-061,boludo,polisemico_interno,tango,insulto (tonto),"apelativo afectuoso entre amigos, segun tono",rioplatense (interno),media,si,,,,,,
LB-062,posta,polisemico_interno,trap,"de verdad, en serio",posta = puesto/estacion de relevo (sentido literal),rioplatense (interno),media,si,,,,,,
LB-063,bocha,polisemico_interno,trap,"mucho, gran cantidad","cabeza (la bocha), tambien bola/bocha de juego",rioplatense (interno),media,si,,,,,,
LB-064,grosso,polisemico_interno,trap,"genial, excelente","grande, de gran tamano (sentido literal)",rioplatense (interno),media,si,,,,,,
LB-065,piola,polisemico_interno,tango,"tranquilo, copado, sagaz","piola = cuerda, soga (sentido literal)",rioplatense (interno),media,si,,,,,,
LB-066,toque,polisemico_interno,trap,un poco (dame un toque),toque = contacto fisico (sentido literal),rioplatense (interno),media,si,,,,,,
LB-067,manija,polisemico_interno,trap,"obsesion, entusiasmo (tener manija)",manija = manija de puerta (sentido literal),rioplatense (interno),media,si,,,,,,
LB-068,palo,polisemico_interno,trap,"un millon (de pesos, slang numerico)",palo = vara de madera (sentido literal),rioplatense (interno),media,si,,"par de nena' / Con la nave y la cadena, hago diez palo' por quincena / Okey, let's go, mami, pa' que esto suene en",CUMBIA MAFIA 420,L-Gante,2022,https://genius.com/L-gante-negro-dub-and-dtbilardo-cumbia-mafia-420-lyrics
LB-069,verde,polisemico_interno,trap,dolar estadounidense (slang),verde = color (sentido literal),rioplatense (interno),media,si,,"que se asoma / En los party gano paper, siempre running, chasing verde / Inténtalo, no te sale, escucha mi flow estrella (Eh, eh, eh)",Diablo,YSY A,2020,https://genius.com/Ysy-a-diablo-lyrics
LB-070,careta,polisemico_interno,trap,"persona falsa, superficial",careta = mascara (sentido literal),rioplatense (interno),media,si,,,,,,
LB-071,banca,polisemico_interno,trap,"apoyo, respaldo (le doy banca)","banca = asiento, banco (sentido literal)",rioplatense (interno),media,si,,,,,,
LB-072,curtir,polisemico_interno,tango,"tener experiencia, estar acostumbrado a algo","curtir = curtir cuero (sentido literal, oficio)",rioplatense (interno),media,si,,,,,,
LB-073,cuadrar,polisemico_interno,trap,"convenir, gustar (me cuadra)",cuadrar = hacer coincidir cuentas (sentido literal),rioplatense (interno),media,si,,,,,,
LB-074,pesado,polisemico_interno,tango,"persona molesta, pesada",pesado = de mucho peso (sentido literal),rioplatense (interno),media,si,,,,,,
LB-075,manso,polisemico_interno,trap,"intenso, grande (manso quilombo)","manso = domesticado, docil (sentido literal, animal)",rioplatense (interno),media,si,,,,,,
LB-076,amor,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,Verás que todo es mentira / Verás que nada es amor / Que al mundo nada le importa,"Yira, Yira",Carlos Gardel,1930,https://genius.com/Carlos-gardel-yira-yira-lyrics
LB-077,corazon,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,,,,,
LB-078,noche,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,"Si es lo mismo el que labura / Noche y día como un buey / Que el que vive de las minas, que el que",Cambalache,Julio Sosa,1934,https://genius.com/Julio-sosa-cambalache-lyrics
LB-079,camino,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,Como dos ladrone’: un secreto bien guardado / Un camino y un destino asegurado / Donde esto' fugitivo' sean amado',Adán y Eva,Paulo Londra,2018,https://genius.com/Paulo-londra-adan-y-eva-lyrics
LB-080,sueno,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,,,,,
LB-081,tiempo,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,"(Siento) / Baby, no quiero frenarte (No), ya no me alcanza el tiempo (Ah-ah) / Ya no es lo mismo que ante' (Ah-ah), ahora mato",She Don’t Give a Fo,Duki,2017,https://genius.com/Duki-and-khea-she-dont-give-a-fo-lyrics
LB-082,cielo,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,"San Juan y Boedo antiguo y todo el cielo / Pompeya y, más alla, la inundación",Sur,Anibal Troilo,1948,https://genius.com/Anibal-troilo-sur-lyrics
LB-083,mar,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,"(Dice ""Dámelo"") / Me lo sacó 'e la boca pa' fumárselo (Pa' fumar-mar-mar) / Sabe que ahora lo vamo' a pasar mejor",Loca,KHEA,2017,https://genius.com/Khea-duki-and-cazzu-loca-lyrics
LB-084,fuego,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,,,,,
LB-085,silencio,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,"que soy un idiota, mi nombre salió de sus bocas / Mi silencio no vale diez rocas, ni su amor toda una vida loca /",No Vendo Trap,Duki,2019,https://genius.com/Duki-no-vendo-trap-lyrics
LB-086,lagrima,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,,,,,
LB-087,sol,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,"barro, de rama', de viento y de huella' de carne / El sol cae en mis brazo' por la tarde / Si preguntan quién soy,",TIERRA ZANTA,Trueno,2022,https://genius.com/Trueno-and-victor-heredia-tierra-zanta-lyrics
LB-088,viento,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,"flor, promesas vanas de un amor / Que se escaparon en el viento / Después, qué importa del después, toda mi vida es el ayer",Naranjo en Flor,Roberto Goyeneche,1944,https://genius.com/Roberto-goyeneche-naranjo-en-flor-lyrics
LB-089,luz,control_negativo,trap,"espanol general, sin variacion dialectal relevante",,,alta,no,,"la tierra, la sangre, lo' sueño', las ganas, el hambre / La luz en los ojos de mi santa madre / Hecho de barro, de",TIERRA ZANTA,Trueno,2022,https://genius.com/Trueno-and-victor-heredia-tierra-zanta-lyrics
LB-090,estrella,control_negativo,tango,"espanol general, sin variacion dialectal relevante",,,alta,no,,,,,,
